model,loss_fn,train_dir,val_dir,epochs,es_patience,label_smoothing,grad_clip_norm,scheduler_factor,scheduler_patience,num_workers,input_size,batch_size,lr,weight_decay,hidden_sizes,dropout,HFlip,VFlip,RBContrast,best_epoch,best_train_aug_loss,best_train_aug_accuracy,best_train_aug_macro_f1,best_val_loss,best_val_accuracy,best_val_macro_f1,best_val_balanced_accuracy,final_train_eval_loss,final_train_eval_accuracy,final_train_eval_macro_f1,final_train_eval_balanced_accuracy,final_val_loss,final_val_accuracy,final_val_macro_f1,final_val_balanced_accuracy,generalization_gap_macro_f1,generalization_gap_accuracy,seed,run_label,stage
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,64,64,0.0002,0.0005,"(1024, 512, 256)",0.45,0.5,0.5,0.5,51,1.3571764772588557,0.5832106038291606,0.584292299409848,1.4569532871246338,0.5878787878787879,0.5989560239676813,0.6012265512265512,1.159309815276753,0.6892488954344624,0.6921049261131097,0.6866183574879228,1.4569532871246338,0.5878787878787879,0.5989560239676813,0.6012265512265512,0.09314890214542837,0.10137010755567455,2034,local_008_seed_2034,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,80,64,0.0001,0.0005,"(1024, 512, 256)",0.25,0.5,0.5,0.5,30,1.0333966179327532,0.6421207658321061,0.6455668004782777,1.2691208918889363,0.5878787878787879,0.5986864986864986,0.5990620490620491,0.8232948996803977,0.7319587628865979,0.7331085449268031,0.7360628019323672,1.2691208918889363,0.5878787878787879,0.5986864986864986,0.5990620490620491,0.13442204624030452,0.14407997500781,2061,local_035_seed_2061,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,80,64,0.0001,0.002,"(1536, 768)",0.45,0.5,0.5,0.3,46,1.0174741528250955,0.646539027982327,0.6461459699398875,1.3191970984141033,0.5878787878787879,0.598193301174331,0.6036075036075037,0.8271709382534027,0.7437407952871871,0.7448456193049982,0.7494524959742352,1.3191970984141033,0.5878787878787879,0.598193301174331,0.6036075036075037,0.14665231813066715,0.15586200740839917,2069,local_043_seed_2069,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0002,0.001,"(768, 384)",0.45,0.5,0.5,0.5,34,1.1279751631346615,0.6362297496318114,0.636956625022763,1.246184080839157,0.5818181818181818,0.5953991853151517,0.5958874458874459,0.9576233706691049,0.7039764359351989,0.7031790584683958,0.7100644122383252,1.246184080839157,0.5818181818181818,0.5953991853151517,0.5958874458874459,0.10777987315324411,0.12215825411701708,2029,local_003_seed_2029,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.0,1.0,0.5,4,0,96,32,0.0001,0.002,"(1024, 512)",0.45,0.5,0.5,0.5,68,0.7362630407918583,0.7290132547864506,0.7336756519476649,1.1503315716981888,0.5818181818181818,0.5919223303556228,0.5911255411255412,0.5956878550350666,0.7746686303387335,0.7800084820951939,0.7807286634460547,1.1503315716981888,0.5818181818181818,0.5919223303556228,0.5911255411255412,0.1880861517395711,0.19285044852055166,2026,local_000_seed_2026,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,80,32,5e-05,0.001,"(1024, 512)",0.35,0.5,0.5,0.3,22,1.2960060780698603,0.6156111929307806,0.6152027385688063,1.4296631217002869,0.5818181818181818,0.5911625501869405,0.5911255411255412,1.1323326500979336,0.7290132547864506,0.7372424361832192,0.7326731078904992,1.4296631217002869,0.5818181818181818,0.5911625501869405,0.5911255411255412,0.14607988599627864,0.14719507296826884,2050,local_024_seed_2050,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,96,32,0.0001,0.0005,"(1024, 512, 256)",0.25,0.5,0.5,0.3,31,0.9369933821938254,0.6774668630338734,0.6760772757219189,1.164278080066045,0.5878787878787879,0.5893326217285625,0.5966810966810967,0.80206453258341,0.7304860088365243,0.7333374399645631,0.7373429951690821,1.164278080066045,0.5878787878787879,0.5893326217285625,0.5966810966810967,0.14400481823600064,0.14260722095773637,2039,local_013_seed_2039,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.1,1.0,0.5,4,0,96,32,5e-05,0.001,"(768, 384)",0.25,0.5,0.5,0.5,18,1.312581799247048,0.5891016200294551,0.5894995320046463,1.3805923859278362,0.5818181818181818,0.5891143334232765,0.5889610389610389,1.1331737204031511,0.7128129602356407,0.7155718408253768,0.7181763285024155,1.3805923859278362,0.5818181818181818,0.5891143334232765,0.5889610389610389,0.12645750740210038,0.13099477841745888,2066,local_040_seed_2066,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,80,32,0.0002,0.0005,"(768, 384)",0.45,0.5,0.5,0.5,44,1.0497818047350103,0.646539027982327,0.6494729751341178,1.2540235320727031,0.5818181818181818,0.5873768814945285,0.5911255411255412,0.9235432120886716,0.7393225331369662,0.7417664389800638,0.7432286634460546,1.2540235320727031,0.5818181818181818,0.5873768814945285,0.5911255411255412,0.1543895574855353,0.15750435131878437,2041,local_015_seed_2041,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.0,1.0,0.5,4,0,96,32,5e-05,0.002,"(1024, 512, 256)",0.35,0.5,0.5,0.5,38,1.0790158483115109,0.5670103092783505,0.5633653922942679,1.1122459868590038,0.5878787878787879,0.5873006906551727,0.5945165945165946,0.8056760186498816,0.7010309278350515,0.7019931967070026,0.703731884057971,1.1122459868590038,0.5878787878787879,0.5873006906551727,0.5945165945165946,0.1146925060518299,0.11315213995626361,2033,local_007_seed_2033,local_search
